Method,Tuning,Lasso,Elastic Net,Grace,GBLasso,Linf,Composite
Lasso,CV-MSE,1.00,0.94,0.81,0.70,0.82,0.90
,Orchestrated,1.00,0.95,0.91,0.83,0.86,0.93
Elastic Net,CV-MSE,0.94,1.00,0.85,0.78,0.85,0.91
,Orchestrated,0.95,1.00,0.95,0.93,0.93,0.92
Grace,CV-MSE,0.81,0.85,1.00,0.81,0.91,0.79
,Orchestrated,0.91,0.95,1.00,0.89,0.92,0.86
GBLasso,CV-MSE,0.70,0.78,0.81,1.00,0.89,0.79
,Orchestrated,0.83,0.93,0.89,1.00,0.98,0.85
Linf,CV-MSE,0.82,0.85,0.91,0.89,1.00,0.82
,Orchestrated,0.86,0.93,0.92,0.98,1.00,0.86
Composite,CV-MSE,0.90,0.91,0.79,0.79,0.82,1.00
,Orchestrated,0.93,0.92,0.86,0.85,0.86,1.00
