,lasso,enet,grace,linf,composite
ABCE1,0.14261370176178262,0.14218172259777859,0.14327534435029352,0.16112286059226838,0.14765623812868223
ACACA,0.37100151824272748,0.36947116859149254,0.37226483990263837,0.40178498244343919,0.38797084553075856
ACTL8,4.2365121725489319,4.1385504547805487,3.9117619140659259,4.9659029324097537,3.7575842988457255
ACVR1B,0.052037541149030378,0.051949516851586698,0.051906765093656437,0.062923338835998599,0.052999683021990901
ADCY2,0.47061592129629631,0.47048635242883569,0.47025772251276199,0.50541570484204856,0.47266321457339278
ADCYAP1,1.3025604828931991,1.2982478800632913,1.2759843548252272,1.2703045658227172,1.3465024414978439
ADH6,0.26845826361469577,0.27010873655772238,0.27056023236965876,0.27186970435324148,0.28562390085514433
ADORA1,1.628508996528176,1.6277765118028786,1.6318152185202179,1.5243593362254075,1.6734949534376369
ADRA1A,0.13528782224352948,0.13539957286312468,0.13560390107533601,0.13269302852746889,0.13853984492308008
AFF2,0.50645915910815142,0.50644661881133324,0.50671258513321693,0.54167103974636932,0.51239134283959475
AFF3,0.92242648475722688,0.9017073600774439,0.86951505178442978,1.0295916364109863,0.85330487234423147
AHSG,0.13003404856774053,0.12139670499941344,0.13022245311469507,0.1337628915930327,0.13330273953995025
AKAP6,0.33292856604461857,0.3330140955960384,0.33382000068150636,0.30737480603783168,0.34024578342256728
AKT2,0.17852754495892498,0.17724019704861643,0.17469881267140852,0.16524285753698983,0.16193280465656135
ALB,0.94161134758990006,0.92657552471657834,0.92740648186476571,0.9002026364471919,0.91952300475521509
ALDH3B2,1.2912347264626742,1.2916212875747777,1.2598502089255217,1.2492664483226892,1.2661091838003
ALK,0.951157642544608,0.92386827361263202,0.94004217979956284,0.90086661238331933,1.040375021674607
AMHR2,0.24781061705920607,0.24879614732112068,0.24705839318196202,0.19814323787400839,0.25319983080302949
AMMECR1,0.47870111998000858,0.47801813638377122,0.47747566075697762,0.45833347304575439,0.47613321444833617
ANGPT1,0.46204657873221583,0.46202540822697036,0.45988009376904054,0.46483942087671976,0.45887890242986196
AP4E1,0.10913844558926949,0.10770444843254884,0.10616944749710217,0.095523245340947582,0.10340756388989619
APOBEC1,0.67790059105133182,0.68153644322743201,0.68785622209487185,0.73246186963740356,0.73138631920457819
APOB,0.12133368393566014,0.11096157618220036,0.12204422210138714,0.12815078219492224,0.12657162774979064
ARHGAP11A,0.83970764883507121,0.83618166251729109,0.81860745449329497,0.81220093297518503,0.8475339069640706
ARHGEF12,0.21399359596153095,0.21414229000256318,0.21325520252892197,0.17988503816162835,0.21247887177903749
ARHGEF16,0.52082596988640961,0.51589468191388588,0.51863695548694311,0.43079453103825316,0.52632658384101871
ARID4B,0.17542828029621862,0.17272531679758268,0.17526076951320149,0.16997959720884631,0.18226402336800879
ART1,0.19290766946178287,0.19131556436637953,0.18933695654087476,0.18888414302904552,0.18436414890842323
ARVCF,0.20208763522047868,0.20093872901033599,0.19815431860292002,0.19639606013943436,0.18792142072585469
AR,1.8294307574490487,1.8056298987934432,1.7532922945869869,2.9296491145965233,1.6242331746064214
ASCL1,1.5312250663610543,1.5361847764758207,1.5325334120295864,1.8151301377145694,1.664490763580643
ASF1B,0.43408671311418845,0.43460892432706605,0.43153666968661664,0.41051530016632581,0.43129253177450599
ASIP,0.34659699240691755,0.34127295328114066,0.33470359058824295,0.30357546736471874,0.30145434457543629
ASPM,0.82002477267168439,0.83800967622033773,0.80763913707344703,0.79665425600416584,0.80272382710315504
ATF7,0.11115768478240369,0.11157194125743392,0.11160756715576971,0.10684389517973031,0.11515964115834043
