,lasso,enet,grace,linf,composite
ACRV1,0.17275615580891401,0.17348537446699386,0.17306636085649829,0.17070589912210143,0.17604759584591281
ACSM3,0.27344093644375544,0.24076271752208087,0.27309993030009361,0.20829661213882086,0.27260656052879589
ACTL8,4.4258396763070245,4.3365410168205889,4.1318979224942893,4.6776554440329345,3.6375151760981765
ACVR1B,0.051946786676226792,0.051899514083575682,0.051779844590838134,0.05928815800979173,0.05262911262775196
ADCY2,0.47061592129629631,0.47061592129629631,0.47005765629830509,0.47219604374912538,0.47061592129629631
ADCYAP1,1.3421107641874672,1.3305200256145635,1.3264196782722475,1.3503778707967764,1.4278262300328584
ADH6,0.29058177220864778,0.29041864877355023,0.29378511763440068,0.27598993248484138,0.30986228484429823
ADORA1,1.5959908653247776,1.5910325339859079,1.5779822551144642,1.5897886638863457,1.550732002526209
ADRA1A,0.13741375201289188,0.13765808516601549,0.13834384696218363,0.14194620284280296,0.1485907806602125
AFF2,0.51358482151144502,0.51053076665547348,0.50947785548330959,0.54059170763950537,0.51018576013221839
AFF3,1.0281879356565771,1.0117975731361628,0.92776320597982798,1.3543759970894034,0.87819489120115879
AHSG,0.15276020827423126,0.13583363078665428,0.14953741703714532,0.14080628714175103,0.16327932321976471
AKAP6,0.33233136527231316,0.33231800301058967,0.33277410454434758,0.32097280193544414,0.336677972401634
AKT2,0.1813844524902779,0.18019034820791685,0.17834790835633763,0.16756188479882506,0.16953318433269757
ALB,0.95371353217980914,0.94833183871947235,0.94833061878531566,0.95545129939910023,0.93322583765231759
ALDH3B2,1.3951901554323602,1.3950516246481111,1.3878914087167595,1.4934142772276444,1.3879170913220822
ALDOB,0.15918993472523424,0.15864966917013254,0.16067286642076195,0.16986773633427285,0.16818480761540042
ALK,1.0139927280659453,1.0023081532375837,0.98671246138104507,0.93129888724006149,0.98292060848376861
AMHR2,0.25667528038099058,0.25530868149336117,0.25777108917799291,0.23169412903149023,0.26690646649899652
AMMECR1,0.482681305649723,0.4830353727009522,0.4835760265233412,0.45128137082760489,0.49273797025824884
ANGPT1,0.47159805162349389,0.46362917699420014,0.46646801731425547,0.44859734399581214,0.4632190632293135
AP4E1,0.10893251607943012,0.1084536656978778,0.10758366504946539,0.097306699455922199,0.10459475033818061
APC,0.16563597482288459,0.1661454274450179,0.16705673694942794,0.13743213688210942,0.17528173908007627
