,setup,model,mse,predictors,correlation,sens,spec,prec,params
2,Setup 1,agrace,17.4459282645,550,0.605596488064,1.0,0.0,0.08,"lambda 1=10.0, lambda 2=10.0"
8,Setup 2,agrace,25.6547068799,550,0.564416114275,1.0,0.0,0.08,"lambda 1=10.0, lambda 2=10.0"
14,Setup 3,agrace,54.1074667249,550,-0.226685705723,1.0,0.0,0.0436363636364,"lambda 1=0.01, lambda 2=1000.0"
20,Setup 4,agrace,16.9659074403,550,0.243262852699,1.0,0.0,0.0436363636364,"lambda 1=10.0, lambda 2=10.0"
0,Setup 1,enet,244.031914769,350,0.815536757239,1.0,0.395256916996,0.125714285714,"alpha=5.34432953545, l1_ratio=0.1"
6,Setup 2,enet,159.451373097,154,0.614964581902,1.0,0.782608695652,0.285714285714,"alpha=14.0038451237, l1_ratio=0.1"
12,Setup 3,enet,93.9455195894,4,0.62420306915,0.125,0.998098859316,0.75,"alpha=4.85054245113, l1_ratio=0.99"
18,Setup 4,enet,45.6504404735,7,0.638856712345,0.0833333333333,0.990494296578,0.285714285714,"alpha=3.82469019373, l1_ratio=0.99"
1,Setup 1,gblasso,628.646971868,550,0.668576242685,1.0,0.0,0.08,"gamma=1.0, lambda=2.0"
7,Setup 2,gblasso,279.536813891,0,nan,0.0,1.0,0.0,"gamma=0.1, lambda=2.0"
13,Setup 3,gblasso,247.705382377,550,0.537590757557,1.0,0.0,0.0436363636364,"gamma=100.0, lambda=2.0"
19,Setup 4,gblasso,144.944703059,550,0.430707045424,1.0,0.0,0.0436363636364,"gamma=1.0, lambda=2.0"
4,Setup 1,grace,714.254550596,550,0.619100218269,1.0,0.0,0.08,"lambda 1=10000.0, lambda 2=0.01"
10,Setup 2,grace,48.4760331744,550,0.667378212205,1.0,0.0,0.08,"lambda 1=0.01, lambda 2=10000.0"
16,Setup 3,grace,110.876029582,550,0.766484740681,1.0,0.0,0.0436363636364,"lambda 1=1000.0, lambda 2=1000.0"
22,Setup 4,grace,199.528366776,550,0.576190595532,1.0,0.0,0.0436363636364,"lambda 1=10000.0, lambda 2=0.01"
5,Setup 1,lasso,357.668892118,8,0.5925751444,0.181818181818,1.0,1.0,alpha=9.66420295129
11,Setup 2,lasso,261.211272591,2,0.461092064364,0.0454545454545,1.0,1.0,alpha=9.66061133605
17,Setup 3,lasso,85.206442056,2,0.619070508597,0.0416666666667,0.998098859316,0.5,alpha=4.56549523915
23,Setup 4,lasso,147.822759153,2,0.558995683443,0.0416666666667,0.998098859316,0.5,alpha=8.52664468308
3,Setup 1,linf,0.821427282247,550,0.99884686605,1.0,0.0,0.08,C=50.0
9,Setup 2,linf,11.4104112861,550,0.889950574689,1.0,0.0,0.08,C=55.0
15,Setup 3,linf,3.22181530222,550,0.856516355803,1.0,0.0,0.0436363636364,C=50.0
21,Setup 4,linf,8.04255916028,550,0.681237755207,1.0,0.0,0.0436363636364,C=50.0
