,setup,model,mse,predictors,correlation,sens,spec,prec,params
2,Setup 1,composite,3.61556535866,78,0.978944568022,1.0,0.806818181818,0.564102564103,Vote threshold=0.5
8,Setup 2,composite,11.7144066518,68,0.883567590779,0.886363636364,0.835227272727,0.573529411765,Vote threshold=0.5
14,Setup 3,composite,2.14375829066,94,0.97766937599,1.0,0.642857142857,0.255319148936,Vote threshold=0.5
20,Setup 4,composite,7.88102862476,60,0.826854871328,0.791666666667,0.790816326531,0.316666666667,Vote threshold=0.5
0,Setup 1,enet,2.84330135154,85,0.984504041968,1.0,0.767045454545,0.517647058824,"alpha=0.0322189869177, l1_ratio=0.8"
6,Setup 2,enet,24.8609220128,38,0.787594256411,0.681818181818,0.954545454545,0.789473684211,"alpha=0.577545577289, l1_ratio=0.95"
12,Setup 3,enet,2.26413482174,35,0.984555952495,0.75,0.913265306122,0.514285714286,"alpha=0.260632472644, l1_ratio=0.9"
18,Setup 4,enet,5.3970213869,62,0.812217577692,0.75,0.775510204082,0.290322580645,"alpha=0.151276667775, l1_ratio=0.8"
1,Setup 1,gblasso,1.9921293841,85,0.980475794986,1.0,0.767045454545,0.517647058824,"gamma=3.0, lambda=10.0"
7,Setup 2,gblasso,8.24405132868,91,0.907570413806,1.0,0.732954545455,0.483516483516,"gamma=3.0, lambda=10.0"
13,Setup 3,gblasso,8.01206414439,177,0.75434959256,1.0,0.219387755102,0.135593220339,"gamma=2.0, lambda=1.0"
19,Setup 4,gblasso,6.82833196298,100,0.690224056959,1.0,0.612244897959,0.24,"gamma=3.0, lambda=10.0"
4,Setup 1,grace,1.04118991509,73,0.997834306785,1.0,0.835227272727,0.602739726027,"lambda 1=10.0, lambda 2=10.0"
10,Setup 2,grace,13.8249919939,98,0.870488827877,0.863636363636,0.659090909091,0.387755102041,"lambda 1=10.0, lambda 2=1.0"
16,Setup 3,grace,5.66102679765,37,0.932509942909,0.916666666667,0.923469387755,0.594594594595,"lambda 1=100.0, lambda 2=10.0"
22,Setup 4,grace,6.49964385288,31,0.795551440552,0.708333333333,0.928571428571,0.548387096774,"lambda 1=100.0, lambda 2=10.0"
5,Setup 1,lasso,2.4226923936,80,0.988765566499,1.0,0.795454545455,0.55,alpha=0.0301862495166
11,Setup 2,lasso,15.1282962855,85,0.836110236717,0.886363636364,0.738636363636,0.458823529412,alpha=0.0588319032157
17,Setup 3,lasso,1.0401728343,92,0.995908775084,0.708333333333,0.617346938776,0.184782608696,alpha=0.012684422044
23,Setup 4,lasso,5.82996826716,45,0.809875839884,0.625,0.84693877551,0.333333333333,alpha=0.170078913449
3,Setup 1,linf,1.21806711157,102,0.996398670097,1.0,0.670454545455,0.43137254902,C=55.0
9,Setup 2,linf,5.39472197215,59,0.965546114548,1.0,0.914772727273,0.745762711864,C=45.0
15,Setup 3,linf,4.81948327438,220,0.839177678051,1.0,0.0,0.109090909091,C=50.0
21,Setup 4,linf,5.25817349526,115,0.776294642918,1.0,0.535714285714,0.208695652174,C=30.0
