,setup,model,mse,predictors,correlation,sens,spec,prec,params
2,Setup 1,composite,2.41311846031,69,0.987141073976,1.0,0.857954545455,0.63768115942,Vote threshold=0.5
8,Setup 2,composite,3.8319958964,82,0.965980569703,1.0,0.784090909091,0.536585365854,Vote threshold=0.5
14,Setup 3,composite,0.925987057399,51,0.992401071082,1.0,0.862244897959,0.470588235294,Vote threshold=0.5
20,Setup 4,composite,3.24343457635,64,0.949423889659,1.0,0.795918367347,0.375,Vote threshold=0.5
0,Setup 1,enet,31.3475800883,117,0.909210560036,1.0,0.585227272727,0.376068376068,"alpha=0.890859206156, l1_ratio=0.25"
6,Setup 2,enet,31.1055582916,125,0.728498629693,0.863636363636,0.505681818182,0.304,"alpha=0.475010817276, l1_ratio=0.25"
12,Setup 3,enet,12.4716458029,82,0.741695052527,1.0,0.704081632653,0.292682926829,"alpha=0.764051857705, l1_ratio=0.25"
18,Setup 4,enet,13.2841673916,155,0.597670193797,0.916666666667,0.321428571429,0.141935483871,"alpha=0.586243961745, l1_ratio=0.1"
1,Setup 1,gblasso,871.690556532,0,nan,0.0,1.0,0.0,"gamma=2.0, lambda=1000.0"
7,Setup 2,gblasso,8.24405132868,91,0.907570413806,1.0,0.732954545455,0.483516483516,"gamma=3.0, lambda=10.0"
13,Setup 3,gblasso,9.74029869584,46,0.680554475999,1.0,0.887755102041,0.521739130435,"gamma=2.0, lambda=100.0"
19,Setup 4,gblasso,7.87397576883,39,0.562611980512,0.916666666667,0.913265306122,0.564102564103,"gamma=2.0, lambda=100.0"
4,Setup 1,grace,1.6112873924,70,0.993825435207,1.0,0.852272727273,0.628571428571,"lambda 1=10.0, lambda 2=1.0"
10,Setup 2,grace,35.745867138,101,0.728806514891,1.0,0.676136363636,0.435643564356,"lambda 1=100.0, lambda 2=1000.0"
16,Setup 3,grace,1.29360738042,64,0.985121314586,0.875,0.780612244898,0.328125,"lambda 1=10.0, lambda 2=1.0"
22,Setup 4,grace,5.15825036164,80,0.849035084742,0.875,0.698979591837,0.2625,"lambda 1=10.0, lambda 2=1.0"
5,Setup 1,lasso,2.4226923936,80,0.988765566499,1.0,0.795454545455,0.55,alpha=0.0301862495166
11,Setup 2,lasso,15.4725702473,84,0.832539579495,0.886363636364,0.744318181818,0.464285714286,alpha=0.0630835214267
17,Setup 3,lasso,1.67326012323,26,0.985874835286,0.583333333333,0.938775510204,0.538461538462,alpha=0.254859593892
23,Setup 4,lasso,5.81501716593,47,0.811871349431,0.666666666667,0.841836734694,0.340425531915,alpha=0.158616163917
3,Setup 1,linf,1.21806711157,102,0.996398670097,1.0,0.670454545455,0.43137254902,C=55.0
9,Setup 2,linf,2.57012480239,87,0.987352554814,1.0,0.755681818182,0.505747126437,C=50.0
15,Setup 3,linf,2.94794202612,62,0.85833030741,1.0,0.80612244898,0.387096774194,C=30.0
21,Setup 4,linf,4.67348701977,82,0.764980614866,1.0,0.704081632653,0.292682926829,C=25.0
