,setup,model,mse,predictors,correlation,sens,spec,prec,params
6,Setup 1,agrace,1.92342303886,69,0.991496323838,1.0,0.857954545455,0.63768115942,"lambda 1=10.0, lambda 2=0.1"
16,Setup 2,agrace,14.612980674,87,0.841428138631,0.886363636364,0.727272727273,0.448275862069,"lambda 1=10.0, lambda 2=0.01"
26,Setup 3,agrace,0.778704908574,53,0.997358509787,0.625,0.80612244898,0.283018867925,"lambda 1=10.0, lambda 2=0.1"
36,Setup 4,agrace,4.39646442692,72,0.895447509533,0.791666666667,0.729591836735,0.263888888889,"lambda 1=10.0, lambda 2=0.01"
3,Setup 1,alinf,4.66207566449,46,0.939317214528,1.0,0.988636363636,0.95652173913,E=20.0
13,Setup 2,alinf,10.6616629244,86,0.791548066285,1.0,0.761363636364,0.511627906977,E=20.0
23,Setup 3,alinf,,,,,,,E=5.0
33,Setup 4,alinf,13.1677040182,108,0.689559690081,1.0,0.571428571429,0.222222222222,E=100.0
5,Setup 1,composite,1.11315431746,45,0.995267370346,1.0,0.994318181818,0.977777777778,Vote threshold=0.8
15,Setup 2,composite,6.38462175853,90,0.922661194298,1.0,0.738636363636,0.488888888889,Vote threshold=0.5
25,Setup 3,composite,0.971761652774,51,0.996484591856,0.625,0.816326530612,0.294117647059,Vote threshold=0.8
35,Setup 4,composite,3.98166198921,73,0.926572453367,0.791666666667,0.724489795918,0.260273972603,Vote threshold=0.6
1,Setup 1,enet,1.93911421073,70,0.992094429676,1.0,0.852272727273,0.628571428571,"alpha=0.0482951738875, l1_ratio=0.95"
11,Setup 2,enet,14.698286409,96,0.846973805311,0.863636363636,0.670454545455,0.395833333333,"alpha=0.0137282148415, l1_ratio=0.99"
21,Setup 3,enet,0.786645565063,57,0.99753613309,0.625,0.785714285714,0.263157894737,"alpha=0.0419553167532, l1_ratio=0.99"
31,Setup 4,enet,4.53415597396,89,0.898854109188,0.833333333333,0.647959183673,0.224719101124,"alpha=0.019752466718, l1_ratio=0.99"
2,Setup 1,gblasso,1.9921293841,85,0.980475794986,1.0,0.767045454545,0.517647058824,"gamma=3.0, lambda=10.0"
12,Setup 2,gblasso,8.24405132868,91,0.907570413806,1.0,0.732954545455,0.483516483516,"gamma=3.0, lambda=10.0"
22,Setup 3,gblasso,6.98214699471,95,0.754807755156,1.0,0.637755102041,0.252631578947,"gamma=2.0, lambda=10.0"
32,Setup 4,gblasso,6.82833196298,100,0.690224056959,1.0,0.612244897959,0.24,"gamma=3.0, lambda=10.0"
8,Setup 1,grace,0.677562588954,151,0.99995483598,1.0,0.392045454545,0.291390728477,"lambda 1=10.0, lambda 2=10000.0"
18,Setup 2,grace,15.1201847994,101,0.845091274827,0.863636363636,0.642045454545,0.376237623762,"lambda 1=1.0, lambda 2=0.01"
28,Setup 3,grace,0.760900571773,52,0.997618940812,0.625,0.811224489796,0.288461538462,"lambda 1=10.0, lambda 2=0.01"
38,Setup 4,grace,4.41279394393,71,0.894843302404,0.791666666667,0.734693877551,0.267605633803,"lambda 1=10.0, lambda 2=0.01"
9,Setup 1,lasso,2.03439885266,71,0.990957800604,1.0,0.846590909091,0.619718309859,alpha=0.0427882287655
19,Setup 2,lasso,15.0923219539,96,0.846070845531,0.886363636364,0.676136363636,0.40625,alpha=0.0145731116434
29,Setup 3,lasso,0.780561825149,59,0.997622657724,0.625,0.775510204082,0.254237288136,alpha=0.0415357635857
39,Setup 4,lasso,4.5366884562,87,0.899007663055,0.791666666667,0.65306122449,0.218390804598,alpha=0.0224834314175
7,Setup 1,linf,0.887040257579,46,0.999572189927,1.0,0.988636363636,0.95652173913,C=50.0
17,Setup 2,linf,2.57012790278,86,0.987352553446,1.0,0.761363636364,0.511627906977,C=50.0
27,Setup 3,linf,4.81869673012,220,0.843043283492,1.0,0.0,0.109090909091,C=45.0
37,Setup 4,linf,5.63395666873,108,0.782205145361,1.0,0.571428571429,0.222222222222,C=35.0
0,Setup 1,ltlp,0.985819269706,209,0.998273367749,1.0,0.0625,0.210526315789,"tau=2.57425432817, delta 1=0.0641823431482, delta 2=5.14850865635"
10,Setup 2,ltlp,0.818156260491,200,0.998709574564,1.0,0.113636363636,0.22,"tau=2.84260593198, delta 1=0.021859667465, delta 2=5.68521186397"
20,Setup 3,ltlp,1.17405840917,85,0.994440133095,0.833333333333,0.668367346939,0.235294117647,"tau=1e-06, delta 1=0.0449970772178, delta 2=482.513508464"
30,Setup 4,ltlp,4.72871362635,108,0.905510725921,1.0,0.571428571429,0.222222222222,"tau=1e-06, delta 1=0.0243570507023, delta 2=524.018963106"
4,Setup 1,ttlp,0.737961094389,110,0.999490712162,1.0,0.625,0.4,"tau=2.57425432817, delta 1=5.14850865635, delta 2=5.14850865635"
14,Setup 2,ttlp,1.14040549398,72,0.997822070122,1.0,0.840909090909,0.611111111111,"tau=2.84260593198, delta 1=5.68521186397, delta 2=5.68521186397"
24,Setup 3,ttlp,1.11183164453,59,0.995062746983,0.625,0.775510204082,0.254237288136,"tau=1e-06, delta 1=134.431624249, delta 2=4.80112943746"
34,Setup 4,ttlp,4.52870331144,87,0.904347627564,0.791666666667,0.65306122449,0.218390804598,"tau=1e-06, delta 1=286.776546973, delta 2=5.21411903588"
