,setup,model,mse,predictors,correlation,sens,spec,prec,params
2,ABCE1_body,composite,0.14765623812868223,2,,,,,Vote threshold=0.5
8,ACACA_body,composite,0.39341263942886162,6,,,,,Vote threshold=0.5
2876,ACRV1_prom,composite,0.18606092489743539,9,,,,,Vote threshold=0.5
2882,ACSM3_prom,composite,0.59980321278081683,14,,,,,Vote threshold=0.5
14,ACTL8_body,composite,3.1719524017401959,11,,,,,Vote threshold=0.5
2888,ACTL8_prom,composite,3.4981174555279075,15,,,,,Vote threshold=0.5
20,ACVR1B_body,composite,0.054063821889709311,6,,,,,Vote threshold=0.5
2894,ACVR1B_prom,composite,0.052761264487489488,3,,,,,Vote threshold=0.5
26,ADCY2_body,composite,0.47266321457339278,1,,,,,Vote threshold=0.5
2900,ADCY2_prom,composite,0.47144421279292609,2,,,,,Vote threshold=0.5
32,ADCYAP1_body,composite,1.2977484100413526,13,,,,,Vote threshold=0.5
2906,ADCYAP1_prom,composite,1.4278262300328584,5,,,,,Vote threshold=0.5
38,ADH6_body,composite,0.29565989093063022,24,,,,,Vote threshold=0.5
2912,ADH6_prom,composite,0.29390756957682618,14,,,,,Vote threshold=0.5
44,ADORA1_body,composite,1.6766445765622844,7,,,,,Vote threshold=0.5
2918,ADORA1_prom,composite,1.5624375018496306,8,,,,,Vote threshold=0.5
50,ADRA1A_body,composite,0.1432933600829395,3,,,,,Vote threshold=0.5
2924,ADRA1A_prom,composite,0.14815605684486588,7,,,,,Vote threshold=0.5
56,AFF2_body,composite,0.51239134283959475,4,,,,,Vote threshold=0.5
2930,AFF2_prom,composite,0.51284936500374512,5,,,,,Vote threshold=0.5
62,AFF3_body,composite,0.84642629171250772,14,,,,,Vote threshold=0.5
2936,AFF3_prom,composite,0.56739041151144187,13,,,,,Vote threshold=0.5
68,AHSG_body,composite,0.19531660476685297,28,,,,,Vote threshold=0.5
2942,AHSG_prom,composite,0.21243472688133569,15,,,,,Vote threshold=0.5
74,AKAP6_body,composite,0.34063127984943109,7,,,,,Vote threshold=0.5
2948,AKAP6_prom,composite,0.336677972401634,3,,,,,Vote threshold=0.5
80,AKT2_body,composite,0.17126785206466943,4,,,,,Vote threshold=0.5
2954,AKT2_prom,composite,0.17034230336188608,2,,,,,Vote threshold=0.5
86,ALB_body,composite,0.94085106896077775,17,,,,,Vote threshold=0.5
2960,ALB_prom,composite,0.9430849514019809,13,,,,,Vote threshold=0.5
92,ALDH3B2_body,composite,1.2229266428982155,5,,,,,Vote threshold=0.5
2966,ALDH3B2_prom,composite,1.399212208197665,10,,,,,Vote threshold=0.5
2972,ALDOB_prom,composite,0.17115602190904389,6,,,,,Vote threshold=0.5
98,ALK_body,composite,1.0229726191867956,10,,,,,Vote threshold=0.5
2978,ALK_prom,composite,1.0038646317622406,13,,,,,Vote threshold=0.5
104,AMHR2_body,composite,0.2765067118099428,14,,,,,Vote threshold=0.5
2984,AMHR2_prom,composite,0.28411083107197743,11,,,,,Vote threshold=0.5
110,AMMECR1_body,composite,0.47613321444833617,4,,,,,Vote threshold=0.5
2990,AMMECR1_prom,composite,0.49273797025824884,5,,,,,Vote threshold=0.5
116,ANGPT1_body,composite,0.49286137178004447,10,,,,,Vote threshold=0.5
2996,ANGPT1_prom,composite,0.46607074469940807,8,,,,,Vote threshold=0.5
122,AP4E1_body,composite,0.098429702753383044,3,,,,,Vote threshold=0.5
3002,AP4E1_prom,composite,0.10459475033818061,2,,,,,Vote threshold=0.5
3008,APC_prom,composite,0.17505135182748871,2,,,,,Vote threshold=0.5
134,APOBEC1_body,composite,0.73138631920457819,3,,,,,Vote threshold=0.5
3020,APOBEC1_prom,composite,0.68743295459211284,2,,,,,Vote threshold=0.5
128,APOB_body,composite,0.14652122617184146,30,,,,,Vote threshold=0.5
3014,APOB_prom,composite,0.14971686930324299,14,,,,,Vote threshold=0.5
146,ARHGAP11A_body,composite,0.70476043826635448,8,,,,,Vote threshold=0.5
3032,ARHGAP11A_prom,composite,0.93798351823859938,11,,,,,Vote threshold=0.5
152,ARHGEF12_body,composite,0.21015895471968024,5,,,,,Vote threshold=0.5
3038,ARHGEF12_prom,composite,0.23557620827591982,5,,,,,Vote threshold=0.5
158,ARHGEF16_body,composite,0.52232061210812131,6,,,,,Vote threshold=0.5
