,lasso,enet,grace,agrace,gblasso,linf,alinf,ttlp,ltlp,composite
lasso,1.000 (0.000),0.929 (0.091),0.845 (0.143),0.908 (0.108),0.714 (0.146),0.777 (0.096),0.401 (0.259),0.792 (0.161),0.787 (0.154),0.743 (0.210)
enet,0.929 (0.091),1.000 (0.000),0.900 (0.101),0.958 (0.042),0.766 (0.160),0.823 (0.107),0.462 (0.264),0.802 (0.158),0.801 (0.153),0.794 (0.163)
grace,0.845 (0.143),0.900 (0.101),1.000 (0.000),0.872 (0.123),0.706 (0.137),0.848 (0.140),0.479 (0.269),0.835 (0.206),0.864 (0.171),0.853 (0.140)
agrace,0.908 (0.108),0.958 (0.042),0.872 (0.123),1.000 (0.000),0.752 (0.126),0.806 (0.089),0.532 (0.259),0.773 (0.174),0.769 (0.174),0.774 (0.161)
gblasso,0.714 (0.146),0.766 (0.160),0.706 (0.137),0.752 (0.126),1.000 (0.000),0.886 (0.080),0.605 (0.181),0.691 (0.156),0.664 (0.149),0.576 (0.210)
linf,0.777 (0.096),0.823 (0.107),0.848 (0.140),0.806 (0.089),0.886 (0.080),1.000 (0.000),0.605 (0.215),0.760 (0.196),0.772 (0.174),0.719 (0.217)
alinf,0.401 (0.259),0.462 (0.264),0.479 (0.269),0.532 (0.259),0.605 (0.181),0.605 (0.215),1.000 (0.000),0.435 (0.298),0.437 (0.303),0.427 (0.322)
ttlp,0.792 (0.161),0.802 (0.158),0.835 (0.206),0.773 (0.174),0.691 (0.156),0.760 (0.196),0.435 (0.298),1.000 (0.000),0.840 (0.180),0.753 (0.235)
ltlp,0.787 (0.154),0.801 (0.153),0.864 (0.171),0.769 (0.174),0.664 (0.149),0.772 (0.174),0.437 (0.303),0.840 (0.180),1.000 (0.000),0.784 (0.217)
composite,0.743 (0.210),0.794 (0.163),0.853 (0.140),0.774 (0.161),0.576 (0.210),0.719 (0.217),0.427 (0.322),0.753 (0.235),0.784 (0.217),1.000 (0.000)
