,setup,model,mse,predictors,correlation,sens,spec,prec,params
1,ABCE1_body,agrace,0.14327534720907611,479,,,,,"lambda 1=10.0, lambda 2=0.01"
0,ABCE1_body,composite,0.14765623812868223,2,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2,ABCE1_body,enet,0.14254599312041089,2,,,,,"alpha=0.04, l1_ratio=0.99"
3,ABCE1_body,grace,0.14327534653379645,479,,,,,"lambda 1=10.0, lambda 2=0.01"
4,ABCE1_body,lasso,0.14261370176178262,2,,,,,alpha=0.04
6,ACACA_body,agrace,0.37226494735948679,479,,,,,"lambda 1=10.0, lambda 2=0.01"
5,ACACA_body,composite,0.39341263942886157,6,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
7,ACACA_body,enet,0.37077603899204387,4,,,,,"alpha=0.04, l1_ratio=0.99"
8,ACACA_body,grace,0.37226484119010539,479,,,,,"lambda 1=10.0, lambda 2=0.01"
9,ACACA_body,lasso,0.37100151824272748,4,,,,,alpha=0.04
2396,ACRV1_prom,agrace,0.17306620416382448,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2395,ACRV1_prom,composite,0.18322079219664533,6,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2397,ACRV1_prom,enet,0.17292406071466646,6,,,,,"alpha=0.04, l1_ratio=0.99"
2398,ACRV1_prom,grace,0.17306636355322469,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2399,ACRV1_prom,lasso,0.17275615580891404,6,,,,,alpha=0.04
2401,ACSM3_prom,agrace,0.27310542777466834,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2400,ACSM3_prom,composite,0.32491868322117495,7,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2402,ACSM3_prom,enet,0.26454061961738767,6,,,,,"alpha=0.04, l1_ratio=0.99"
2403,ACSM3_prom,grace,0.27309992331740868,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2404,ACSM3_prom,lasso,0.27344093644375544,5,,,,,alpha=0.04
11,ACTL8_body,agrace,3.9117247357712794,479,,,,,"lambda 1=10.0, lambda 2=0.01"
10,ACTL8_body,composite,3.1719524017401959,11,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
12,ACTL8_body,enet,4.2219939001711415,9,,,,,"alpha=0.04, l1_ratio=0.99"
13,ACTL8_body,grace,3.9117619313781349,479,,,,,"lambda 1=10.0, lambda 2=0.01"
14,ACTL8_body,lasso,4.2365121725489319,8,,,,,alpha=0.04
2406,ACTL8_prom,agrace,4.1318515175473571,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2405,ACTL8_prom,composite,3.5065851645043913,14,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2407,ACTL8_prom,enet,4.4176007179713919,10,,,,,"alpha=0.04, l1_ratio=0.99"
2408,ACTL8_prom,grace,4.1318979214944136,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2409,ACTL8_prom,lasso,4.4258396763070253,9,,,,,alpha=0.04
16,ACVR1B_body,agrace,0.051906764170835014,479,,,,,"lambda 1=10.0, lambda 2=0.01"
15,ACVR1B_body,composite,0.05295621104298736,3,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
17,ACVR1B_body,enet,0.05199830471957289,4,,,,,"alpha=0.04, l1_ratio=0.99"
