,setup,model,mse,predictors,correlation,sens,spec,prec,params
1,Setup 1,enet,3.44236186217,99,0.975151051067,1.0,0.6875,0.444444444444,"alpha=0.016272215615, l1_ratio=0.7"
6,Setup 2,enet,18.444014057,115,0.773819930475,0.840909090909,0.556818181818,0.321739130435,"alpha=0.0151010363257, l1_ratio=0.7"
11,Setup 3,enet,1.96753263668,36,0.986560960612,0.708333333333,0.90306122449,0.472222222222,"alpha=0.229693860143, l1_ratio=0.9"
16,Setup 4,enet,9.12275596007,139,0.717897624904,0.916666666667,0.40306122449,0.158273381295,"alpha=0.0130448555261, l1_ratio=0.4"
2,Setup 1,gblasso,291.062271963,220,0.582585070126,1.0,0.0,0.2,"gamma=2.0, lambda=0.01"
7,Setup 2,gblasso,127.631194594,220,0.547766095384,1.0,0.0,0.2,"gamma=2.0, lambda=1.0"
12,Setup 3,gblasso,126.528047704,220,0.468312914011,1.0,0.0,0.109090909091,"gamma=2.0, lambda=1.0"
17,Setup 4,gblasso,53.9162446652,220,0.497259694773,1.0,0.0,0.109090909091,"gamma=2.0, lambda=1.0"
3,Setup 1,grace,0.996403953677,165,0.997754220646,1.0,0.3125,0.266666666667,"lambda 1=1.0, lambda 2=10.0"
8,Setup 2,grace,13.8249919922,98,0.87048882788,0.863636363636,0.659090909091,0.387755102041,"lambda 1=10.0, lambda 2=1.0"
13,Setup 3,grace,3.55704681207,128,0.898995136653,1.0,0.469387755102,0.1875,"lambda 1=1.0, lambda 2=1.0"
18,Setup 4,grace,6.87420402072,137,0.765427977067,0.916666666667,0.413265306122,0.160583941606,"lambda 1=1.0, lambda 2=1.0"
4,Setup 1,lasso,3.14108498528,90,0.984197673524,1.0,0.738636363636,0.488888888889,alpha=0.0161094934588
9,Setup 2,lasso,15.2047464685,97,0.846159682503,0.886363636364,0.670454545455,0.40206185567,alpha=0.0126749493168
14,Setup 3,lasso,1.0401728343,92,0.995908775084,0.708333333333,0.617346938776,0.184782608696,alpha=0.012684422044
19,Setup 4,lasso,4.63285811837,66,0.873066093342,0.791666666667,0.760204081633,0.287878787879,alpha=0.0846486760032
0,Setup 1,linf,1.57404206958,220,0.992947890231,1.0,0.0,0.2,C=55.0
5,Setup 2,linf,5.66664938119,220,0.957978774755,1.0,0.0,0.2,C=50.0
10,Setup 3,linf,4.85242574797,220,0.833624102207,1.0,0.0,0.109090909091,C=50.0
15,Setup 4,linf,7.64741746013,220,0.748359162542,1.0,0.0,0.109090909091,C=45.0
