,setup,model,mse,predictors,correlation,sens,spec,prec,params
6,Setup 1,agrace,1.35085639179,78,0.984989854716,1.0,0.932806324111,0.564102564103,"lambda 1=10.0, lambda 2=0.1"
16,Setup 2,agrace,16.4120469921,91,0.772402598732,0.659090909091,0.877470355731,0.318681318681,"lambda 1=10.0, lambda 2=0.01"
26,Setup 3,agrace,0.193016684836,50,0.99920281878,0.625,0.933460076046,0.3,"lambda 1=10.0, lambda 2=0.1"
36,Setup 4,agrace,5.0394186584,83,0.810290975409,0.541666666667,0.866920152091,0.156626506024,"lambda 1=10.0, lambda 2=0.01"
3,Setup 1,alinf,52.5821550085,550,0.343473649975,1.0,0.0,0.08,E=70.0
13,Setup 2,alinf,54.5653338133,550,0.271778331851,1.0,0.0,0.08,E=5.0
23,Setup 3,alinf,47.1118387006,550,-0.0128904046948,1.0,0.0,0.0436363636364,E=90.0
33,Setup 4,alinf,41.4126932209,550,-0.1217070073,1.0,0.0,0.0436363636364,E=10.0
5,Setup 1,composite,0.863773095116,63,0.993981006921,1.0,0.962450592885,0.698412698413,Vote threshold=0.8
15,Setup 2,composite,18.189474905,88,0.744726986494,0.659090909091,0.883399209486,0.329545454545,Vote threshold=0.8
25,Setup 3,composite,0.289267203071,50,0.998007823254,0.625,0.933460076046,0.3,Vote threshold=0.8
35,Setup 4,composite,6.22463644313,93,0.787082934803,0.541666666667,0.847908745247,0.139784946237,Vote threshold=0.8
1,Setup 1,enet,0.963724072133,75,0.995142193105,1.0,0.938735177866,0.586666666667,"alpha=0.0464822528312, l1_ratio=0.9"
11,Setup 2,enet,16.4429885476,100,0.760168862702,0.659090909091,0.859683794466,0.29,"alpha=0.0210233900902, l1_ratio=0.99"
21,Setup 3,enet,0.218712812351,61,0.998591500644,0.625,0.912547528517,0.245901639344,"alpha=0.0363539970584, l1_ratio=0.95"
31,Setup 4,enet,5.96147356763,97,0.789543003197,0.541666666667,0.84030418251,0.134020618557,"alpha=0.0122083823583, l1_ratio=0.99"
2,Setup 1,gblasso,341.858457494,550,0.588034333625,1.0,0.0,0.08,"gamma=3.0, lambda=0.01"
12,Setup 2,gblasso,102.903923116,550,0.401475686635,1.0,0.0,0.08,"gamma=3.0, lambda=100.0"
22,Setup 3,gblasso,139.599719044,550,0.485002515856,1.0,0.0,0.0436363636364,"gamma=2.0, lambda=0.01"
32,Setup 4,gblasso,95.4581972835,550,0.407167598773,1.0,0.0,0.0436363636364,"gamma=2.0, lambda=0.01"
8,Setup 1,grace,0.331503723683,224,0.999977057789,1.0,0.644268774704,0.196428571429,"lambda 1=10.0, lambda 2=10000.0"
18,Setup 2,grace,16.3404596149,91,0.773414581806,0.659090909091,0.877470355731,0.318681318681,"lambda 1=10.0, lambda 2=0.01"
28,Setup 3,grace,0.184381281595,53,0.999309390255,0.583333333333,0.925855513308,0.264150943396,"lambda 1=10.0, lambda 2=0.01"
38,Setup 4,grace,6.31275435032,99,0.785112271743,0.583333333333,0.838403041825,0.141414141414,"lambda 1=1.0, lambda 2=0.01"
9,Setup 1,lasso,4.09953408442,85,0.948461097372,1.0,0.918972332016,0.517647058824,alpha=0.0418340275481
19,Setup 2,lasso,16.437790416,99,0.760304842973,0.659090909091,0.861660079051,0.292929292929,alpha=0.018102221837
29,Setup 3,lasso,0.193177795098,59,0.99924710722,0.625,0.916349809886,0.254237288136,alpha=0.037032139463
39,Setup 4,lasso,5.80435367177,96,0.789547971116,0.541666666667,0.842205323194,0.135416666667,alpha=0.0159773753657
7,Setup 1,linf,0.933292213394,550,0.998760792856,1.0,0.0,0.08,C=55.0
17,Setup 2,linf,9.89142803541,550,0.909732930337,1.0,0.0,0.08,C=50.0
27,Setup 3,linf,2.75277660263,550,0.862904419061,1.0,0.0,0.0436363636364,C=30.0
37,Setup 4,linf,8.35085071249,550,0.685458182593,1.0,0.0,0.0436363636364,C=30.0
0,Setup 1,ltlp,277510.680399,550,0.225068556655,1.0,0.0,0.08,"tau=1.68869145272, delta 1=0.0627510413221, delta 2=6.7547638109"
10,Setup 2,ltlp,43345.1784999,550,0.208678084337,1.0,0.0,0.08,"tau=1e-06, delta 1=0.0271533327555, delta 2=2.65997678221"
20,Setup 3,ltlp,3578.09387628,550,0.200122089786,1.0,0.0,0.0436363636364,"tau=2.44376502679, delta 1=0.0555482091945, delta 2=4.88753005359"
30,Setup 4,ltlp,2025.61648551,550,0.173029398505,1.0,0.0,0.0436363636364,"tau=2.99870761465, delta 1=0.0239660630486, delta 2=5.99741522931"
4,Setup 1,ttlp,25.1578753595,550,0.749378654708,1.0,0.0,0.08,"tau=1.68869145272, delta 1=467.767393905, delta 2=6.7547638109"
14,Setup 2,ttlp,18.215062095,550,0.747454501051,1.0,0.0,0.08,"tau=0.664994695553, delta 1=184.203392168, delta 2=2.65997678221"
24,Setup 3,ttlp,9.21807196736,550,0.828376949388,1.0,0.0,0.0436363636364,"tau=1.2218830134, delta 1=338.461456211, delta 2=4.88753005359"
34,Setup 4,ttlp,10.7066696686,550,0.650963522826,1.0,0.0,0.0436363636364,"tau=2.99870761465, delta 1=415.32100463, delta 2=5.99741522931"
