,setup,model,mse,predictors,correlation,sens,spec,prec,params
0,ABCE1_body,composite,0.14765623812868223,2,,,,,Vote threshold=0.5
5,ACACA_body,composite,0.39341263942886162,6,,,,,Vote threshold=0.5
2395,ACRV1_prom,composite,0.18606092489743539,9,,,,,Vote threshold=0.5
2400,ACSM3_prom,composite,0.59980321278081683,14,,,,,Vote threshold=0.5
10,ACTL8_body,composite,3.1719524017401959,11,,,,,Vote threshold=0.5
2405,ACTL8_prom,composite,3.4981174555279075,15,,,,,Vote threshold=0.5
15,ACVR1B_body,composite,0.054063821889709311,6,,,,,Vote threshold=0.5
2410,ACVR1B_prom,composite,0.052761264487489488,3,,,,,Vote threshold=0.5
20,ADCY2_body,composite,0.47266321457339278,1,,,,,Vote threshold=0.5
2415,ADCY2_prom,composite,0.47144421279292609,2,,,,,Vote threshold=0.5
25,ADCYAP1_body,composite,1.2977484100413526,13,,,,,Vote threshold=0.5
2420,ADCYAP1_prom,composite,1.4278262300328584,5,,,,,Vote threshold=0.5
30,ADH6_body,composite,0.29565989093063022,24,,,,,Vote threshold=0.5
2425,ADH6_prom,composite,0.29390756957682618,14,,,,,Vote threshold=0.5
35,ADORA1_body,composite,1.6766445765622844,7,,,,,Vote threshold=0.5
2430,ADORA1_prom,composite,1.5624375018496306,8,,,,,Vote threshold=0.5
40,ADRA1A_body,composite,0.1432933600829395,3,,,,,Vote threshold=0.5
2435,ADRA1A_prom,composite,0.14815605684486588,7,,,,,Vote threshold=0.5
45,AFF2_body,composite,0.51239134283959475,4,,,,,Vote threshold=0.5
2440,AFF2_prom,composite,0.51284936500374512,5,,,,,Vote threshold=0.5
50,AFF3_body,composite,0.84642629171250772,14,,,,,Vote threshold=0.5
2445,AFF3_prom,composite,0.56739041151144187,13,,,,,Vote threshold=0.5
55,AHSG_body,composite,0.19531660476685297,28,,,,,Vote threshold=0.5
2450,AHSG_prom,composite,0.21243472688133569,15,,,,,Vote threshold=0.5
60,AKAP6_body,composite,0.34063127984943109,7,,,,,Vote threshold=0.5
2455,AKAP6_prom,composite,0.336677972401634,3,,,,,Vote threshold=0.5
65,AKT2_body,composite,0.17126785206466943,4,,,,,Vote threshold=0.5
2460,AKT2_prom,composite,0.17034230336188608,2,,,,,Vote threshold=0.5
70,ALB_body,composite,0.94085106896077775,17,,,,,Vote threshold=0.5
2465,ALB_prom,composite,0.9430849514019809,13,,,,,Vote threshold=0.5
75,ALDH3B2_body,composite,1.2229266428982155,5,,,,,Vote threshold=0.5
2470,ALDH3B2_prom,composite,1.399212208197665,10,,,,,Vote threshold=0.5
2475,ALDOB_prom,composite,0.17115602190904389,6,,,,,Vote threshold=0.5
